url,label
https://www-sscurescustomerapps.blogspot.com/,1
https://www.article.wn.com/view/2011/11/10/Factfinder_to_unveil_UK_files_on_lawyers_killing_t/,0
http://ipointstudio.com/microsoft.secure.encryptedmail.service.login/763528482739423908665316258358992185381/,1
https://www.mercurynews.com/rss/ci_19175133?source=rss,0
http://thelulusband.com/wp-admin/css/colors/coffee/dropbox/domain/login.php,1
http://185.36.100.75/module/96df1c84c7fb13e880e399f9627e0db0/,1
https://www.en.wikipedia.org/wiki/Michel_Plasson,0
http://www.kf25zx.com/images/?app=com-d3,1
https://www.freebase.com/view/en/ville_emard_juveniles,0
http://ynwfx.yt/main.php,1
http://kitchen-doors.com/pos/postal/979dac508cbcd3cbe86ed61ed772a1b544e4289f/manage.compte/index.php?country.x=EU-Europe,1
https://www.toysrus.com/product/index.jsp?productId=11956040,0
https://www.bls.gov/oco/ocos021.htm,0
https://www.buddytv.com/denis-ohare.aspx,0
http://idwcadcam.com.au/wp-admin/d/drrpbox,1
https://www.hitparade.ch/showitem.asp?interpret=Frijid+Pink&titel=House+Of+The+Rising+Sun&cat=s,0
https://www.basketball-reference.com/players/p/powele01.html,0
https://www.facebook.com/joao.spratley,0
http://clickform.netreff86.com/,1
http://eslickcreative.com/phpform/forms/form1.html,1
https://www.indecisionforever.com/,0
https://www.harmonium.syntheway.net/,0
http://betrend.dk/jwjzt8br,1
http://rjwebhost.com.br/look/900000/group/lock/estate/,1
https://www.thewalkingcompany.com/,0
https://cp61.ezyreg.com/~dmdm1851/1,1
http://xa.yimg.com/kq/groups/1664274/949972947/name/Limited+Account+Access.html,1
http://proteccionydefensassdi.com/wp-includes/external-open/Alibaba.html,1
http://zagplush.com/hfycn33,1
http://45yu.jpandassociatesrealtors.info/house.nod?themselves=&amp;event=fb-p4I&amp;increase=&amp;sign=G5hhBCf&amp;order=h-d7i&amp;design=7Z5r7B_&amp;carry=FW84u&amp;morning=C9L&amp;start=&amp;consider=gYmfobkk1&amp;finally=&amp;structure=ALYNY5,1
http://dropbox.adminmailservers.com/dpbx/index.php,1
"https://secure.runescape.com-sh.top/m=weblogin/loginform.ws378,186,542,36542526,875",1
http://im-musicsolution.com/use/Indexxatt(1).htm,1
http://ime.edu.co/firmasime/Santander/pessoa-fisica/index1.php,1
http://usitreq.blogspot.ro/2013/02/ups-your-package-h7307591720.html,1
https://www.edirc.repec.org/canada.html,0
http://www.novi-pro.pl/j/titi/g-hide.html,1
https://www.en.wikipedia.org/wiki/Andrew_Stewart_(bishop_of_Moray),0
https://www.ca.linkedin.com/pub/luc-poirier/2/58a/959,0
https://www.longsorchard.com/1/151/corn_maze.asp,0
https://www.bing.com/videos/watch/video/interview-with-shawn-drover-of-megadeth/17w3xo3kp?from=,0
https://www.answers.com/topic/louis-hippolyte-lafontaine,0
https://www.facebook.com/DannyAyalon/posts/111287058929928,0
https://www.fearthefin.com/2011/7/20/2285051/san-jose-sharks-and-anaheim-ducks-leaned-heaviest-on-their-top-six,0
https://www.forumjar.com/list/730,0
http://www.stolizaparketa.ru/wp-content/themes/twentyfifteen/css/chi/chinavali/index.php,1
https://www.yatedo.com/s/Jean+Chabot,0
http://maplerivertoys.com/wp-content/themes/box/dhl/tracking.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&amp;userid,1
https://www.indiastudychannel.com/resources/29837-VIRUS-HISTORY.aspx,0
https://www.espn.go.com/mlb/player/_/id/30282/chris-leroux,0
https://www.absoluteastronomy.com/topics/Bruno_Walter,0
https://www.ovguide.com/movies_tv/state_fair_1933.htm,0
http://songofhiawathamusic.com/TI0ne2Lu2s/v1.php,1
http://mendsnolle.net/5cwzt7xc,1
http://ava.unemat.br/portal/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=a088d5c2224a53d170ceea5ecfa895faa088d5c2224a53d170ceea5ecfa895fa,1
https://www.mubi.com/films/eastern-promises,0
http://grotown.com/pioneerinvest/GD/,1
http://red.mobilgebe.com/?oq=RpqJ7e7ZSbgG1j0WIKVNmz45ZAF8Uoa-vjUHRyBXO0pHX-B29YwxB_pGlV7h8jg&amp;q=znjQMvXcJwDQDofGMvrESLtEMUbQA0KK2OH_76-yEoH9JHT1vrHUSkrttgWCel3&amp;sourceid=msie&amp;aqs=msie.85h90.406a5r3&amp;ie=UTF-16&amp;es_sm=101,1
"http://imperadorgate.com/bb/portalbb/home29,116/116/1/2/2/?pt-BR=2805...",1
http://anjans.com/merchant/Kay%20Generator%20Executables/paypal.webscr.mpp.a06d5zc40ad5e6zr6fef06a40vc2be750/fin/Ak47_/index.php?2f0bfd876f97d8bc130027023b6f22bf?dispatch=BhAE0Zgu4VVuNqMpUF89ugMeMhZDQpUrHu6Humbyi726xOvruE,1
https://terserahlah.000webhostapp.com/recovery-chekpoint-login.html,1
http://bizanalyst.com.au/wp-includes/dropdamyy,1
http://fastnarrowgoes.com/zapoy/gate.php/,1
http://rewthenperhed.ru/gate.php,1
http://kucnitrener.rs/Dropbox%20files/dropboxLanre/dropbox/proposal/,1
http://91.239.25.219:6892,1
https://www.goodreads.com/author/show/159826.Rod_McKuen,0
https://www.veromi.com/Richard-Dudek.aspx,0
http://www.scitycafe.com/qwe/myonportal.php,1
https://www.asburyseminary.edu/news?page=7,0
https://www.torrentreactor.net/torrents/1343099/NIRVANA-1993-12-31-Oakland-Coliseum-Arena-Oakland-CA-AMT-%231-mp4,0
http://mamutproducciones.com/Reg.htm,1
